category_en,category_ja,name_ja,name_en,gender,angle,prompt_tag,prompt_full,filename
Hair Texture,髪質,ストレート,Straight Hair,f,front,straight hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, straight hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_straight_hair
Hair Texture,髪質,ウェーブ,Wavy Hair,f,front,wavy hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, wavy hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_wavy_hair
Hair Texture,髪質,巻き毛・カール,Curly Hair,f,front,curly hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin,  1girl, woman, curly hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_curly_hair
Hair Texture,髪質,くせ毛,Frizzy Hair,f,front,frizzy hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin,  1girl, woman, frizzy hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_frizzy_hair
Hair Texture,髪質,縮毛,Kinky Hair,m,front,kinky hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin,  1boy, man, kinky hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_kinky_hair
Hair Texture,髪質,猫っ毛,Fine Soft Hair,f,front,fine soft hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, fine soft hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_fine_soft_hair
Hair Texture,髪質,剛毛・多毛,Thick Coarse Hair,m,front,thick coarse hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, thick coarse hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_thick_coarse_hair
Hair Texture,髪質,サラサラ・ツヤ髪,Silky Glossy Hair,f,front,silky glossy hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, silky glossy hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_silky_glossy_hair
Hair Texture,髪質,ボリュームヘア,Voluminous Hair,f,front,voluminous hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, voluminous hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_voluminous_hair
Hair Texture,髪質,乱れ髪,Messy Hair,m,front,messy hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, messy hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_messy_hair
